group,resource country,organization country,resource,role,activity,impact,product,timestamp,case
Org line G3,USA,us,Carolyn,,Accepted,Medium,PROD97,2011/5/17 10:53,1-526344555
Org line G3,USA,us,Carolyn,,Queued,Medium,PROD97,2011/5/17 11:04,1-526344555
Org line G3,Sweden,us,Padmanabha,,Accepted,Medium,PROD97,2011/5/18 2:37,1-526344555
Org line G3,USA,us,Carolyn,,Accepted,Medium,PROD97,2011/5/18 2:37,1-526344555
Org line G3,POLAND,us,Ewa,,Accepted,Medium,PROD97,2012/1/30 20:53,1-526344555
Org line G3,POLAND,us,Ewa,,Completed,Medium,PROD97,2012/1/30 20:55,1-526344555
Org line G3,POLAND,us,Ewa,,Accepted,Medium,PROD98,2012/5/24 13:59,1-749747547
Org line G3,POLAND,us,Ewa,,Completed,Medium,PROD98,2012/5/24 14:00,1-749747547
Org line A2,Sweden,se,Maria,A2_4,Accepted,High,PROD591,2012/2/29 11:16,1-690327801
Org line A2,Sweden,se,Maria,A2_4,Completed,High,PROD591,2012/3/1 13:17,1-690327801
Org line C,INDIA,us,Arun,E_4,Accepted,Low,PROD423,2011/8/3 5:37,1-544876956
Org line C,INDIA,us,Arun,E_4,Accepted,Low,PROD423,2011/12/21 8:12,1-544876956
Org line C,INDIA,us,Arun,E_4,Completed,Low,PROD423,2012/1/24 8:17,1-544876956
Org line G3,POLAND,us,Ewa,E_4,Accepted,High,PROD98,2012/2/13 13:58,1-672743704
Org line G3,POLAND,us,Ewa,E_4,Completed,High,PROD98,2012/2/14 9:14,1-672743704
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2011/6/29 11:44,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Queued,Low,PROD215,2011/6/29 12:04,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2011/7/1 7:27,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Accepted,Low,PROD215,2012/4/4 15:27,1-537601770
Org line A2,Sweden,se,Linda,A2_2,Completed,Low,PROD215,2012/5/21 13:05,1-537601770
Org line C,Sweden,se,Reine,C_5,Accepted,Low,PROD476,2009/9/22 12:22,1-323264491
Org line C,Sweden,se,Reine,C_5,Accepted,Low,PROD476,2009/9/22 12:25,1-323264491
Org line C,Sweden,se,Reine,C_5,Completed,Low,PROD476,2012/5/24 8:57,1-323264491
Org line F,Sweden,se,Roger,C_5,Accepted,Medium,PROD48,2010/2/15 8:33,1-354090772
Org line F,Sweden,se,Roger,C_5,Accepted,Medium,PROD48,2010/2/15 8:34,1-354090772
Org line F,Sweden,se,Roger,C_5,Accepted,Medium,PROD48,2010/3/2 12:59,1-354090772
Org line A2,Sweden,se,Henrik,A2_2,Queued,Medium,PROD48,2010/3/2 13:01,1-354090772
