case,activity,timestamp,resource,Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9
4571,Assign seriousness,2011/2/18 15:52:46,Value 8,Value 1,Value 43,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
4571,Take in charge ticket,2011/2/18 15:54:04,Value 8,Value 1,Value 43,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
4571,Resolve ticket,2011/2/18 16:24:58,Value 13,Value 1,Value 43,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
4571,Closed,2011/4/3 15:02:01,Value 5,Value 1,Value 43,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
802,Assign seriousness,2011/3/7 9:09:57,Value 2,Value 1,Value 13,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
802,Take in charge ticket,2011/3/7 9:10:06,Value 2,Value 1,Value 13,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
802,Resolve ticket,2011/3/8 9:37:41,Value 2,Value 1,Value 13,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
802,Closed,2011/4/14 8:10:42,Value 5,Value 1,Value 13,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
3206,Assign seriousness,2012/1/9 9:59:35,Value 1,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3206,Take in charge ticket,2012/1/9 9:59:52,Value 1,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3206,Resolve ticket,2012/1/12 15:24:44,Value 13,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3206,Closed,2012/2/9 10:00:25,Value 5,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
1538,Assign seriousness,2011/1/3 9:00:18,Value 13,Value 1,Value 174,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
1538,Take in charge ticket,2011/1/4 15:05:46,Value 8,Value 1,Value 174,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
1538,Resolve ticket,2011/1/4 15:06:22,Value 8,Value 1,Value 174,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
1538,Closed,2011/2/20 9:10:35,Value 5,Value 1,Value 174,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
3471,Assign seriousness,2011/10/21 10:47:32,Value 1,Value 1,Value 17,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3471,Take in charge ticket,2011/10/24 15:32:26,Value 9,Value 1,Value 17,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3471,Resolve ticket,2011/10/24 15:40:28,Value 15,Value 1,Value 17,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
3471,Closed,2011/11/23 11:50:41,Value 5,Value 1,Value 17,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4249,Assign seriousness,2012/3/19 11:18:58,Value 1,Value 1,Value 63,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4249,Take in charge ticket,2012/3/20 11:45:59,Value 13,Value 1,Value 63,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4249,Resolve ticket,2012/3/22 14:47:44,Value 13,Value 1,Value 63,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
4249,Closed,2012/5/4 10:20:24,Value 5,Value 1,Value 63,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
806,Assign seriousness,2012/2/27 11:50:44,Value 1,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
806,Take in charge ticket,2012/2/27 13:41:41,Value 6,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
806,Wait,2012/2/28 17:09:42,Value 12,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
806,Resolve ticket,2012/3/19 8:29:33,Value 12,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
806,Closed,2012/4/3 7:29:45,Value 5,Value 1,Value 92,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
2562,Insert ticket,2010/5/27 15:37:37,Value 15,Value 1,Value 73,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
